Region,Product,System,count__minValue,count__maxValue,Area_ha__minValue,Area_ha__maxValue,Animals_total_head__minValue,Animals_total_head__maxValue,Producing_animals_head__minValue,Producing_animals_head__maxValue,Animals_sold_head__minValue,Animals_sold_head__maxValue,Pasture_share_pct__minValue,Pasture_share_pct__maxValue,Supplement_share_pct__minValue,Supplement_share_pct__maxValue,Common_feed_share_pct__minValue,Common_feed_share_pct__maxValue,Waste_feed_share_pct__minValue,Waste_feed_share_pct__maxValue,Intake_assumption_kg_head_day__minValue,Intake_assumption_kg_head_day__maxValue,Pasture_feed_kg_head_day__minValue,Pasture_feed_kg_head_day__maxValue,Supplement_feed_kg_head_day__minValue,Supplement_feed_kg_head_day__maxValue,Common_feed_kg_head_day__minValue,Common_feed_kg_head_day__maxValue,Waste_feed_kg_head_day__minValue,Waste_feed_kg_head_day__maxValue,Unallocated_feed_share_pct__minValue,Unallocated_feed_share_pct__maxValue,Unallocated_feed_kg_head_day__minValue,Unallocated_feed_kg_head_day__maxValue,Total_feed_kg_head_day__minValue,Total_feed_kg_head_day__maxValue,Vaccinated_head__minValue,Vaccinated_head__maxValue,Vaccination_share_pct__minValue,Vaccination_share_pct__maxValue,Milk_output_l_day__minValue,Milk_output_l_day__maxValue,Milk_sales_l_7d__minValue,Milk_sales_l_7d__maxValue,Milk_yield_l_head_day__minValue,Milk_yield_l_head_day__maxValue,Proxy_total_feed_kg_head_day__minValue,Proxy_total_feed_kg_head_day__maxValue,Proxy_body_weight_kg__minValue,Proxy_body_weight_kg__maxValue,Proxy_forage_share_pct__minValue,Proxy_forage_share_pct__maxValue,Proxy_tree_forage_share_pct__minValue,Proxy_tree_forage_share_pct__maxValue,Proxy_compound_feed_share_pct__minValue,Proxy_compound_feed_share_pct__maxValue,Proxy_mineral_share_pct__minValue,Proxy_mineral_share_pct__maxValue,Proxy_forage_kg_head_day__minValue,Proxy_forage_kg_head_day__maxValue,Proxy_tree_forage_kg_head_day__minValue,Proxy_tree_forage_kg_head_day__maxValue,Proxy_compound_feed_kg_head_day__minValue,Proxy_compound_feed_kg_head_day__maxValue,Proxy_mineral_kg_head_day__minValue,Proxy_mineral_kg_head_day__maxValue,Egg_output_reported__minValue,Egg_output_reported__maxValue,Egg_sales_reported__minValue,Egg_sales_reported__maxValue,Eggs_per_head_reported__minValue,Eggs_per_head_reported__maxValue,Birds_sold_head__minValue,Birds_sold_head__maxValue,Birds_consumed_head__minValue,Birds_consumed_head__maxValue,Animals_emission_basis_head__minValue,Animals_emission_basis_head__maxValue,Headcount_emissions_basis_head__minValue,Headcount_emissions_basis_head__maxValue,kgCH4_enteric_yr__minValue,kgCH4_enteric_yr__maxValue,kgCH4_manure_mgmt_yr__minValue,kgCH4_manure_mgmt_yr__maxValue,kgCH4_livestock_total_yr__minValue,kgCH4_livestock_total_yr__maxValue,kgNH3_manure_mgmt_total_yr__minValue,kgNH3_manure_mgmt_total_yr__maxValue,kgNH3_manure_housing_storage_yard_yr__minValue,kgNH3_manure_housing_storage_yard_yr__maxValue,kgNH3_manure_application_yr__minValue,kgNH3_manure_application_yr__maxValue,kgNH3_grazing_yr__minValue,kgNH3_grazing_yr__maxValue,kgNOx_manure_mgmt_as_NO2_yr__minValue,kgNOx_manure_mgmt_as_NO2_yr__maxValue,kgNexcretion_manure_yr__minValue,kgNexcretion_manure_yr__maxValue,kgVS_manure_yr__minValue,kgVS_manure_yr__maxValue,FracGasMS_weighted__minValue,FracGasMS_weighted__maxValue,FracLeachMS_weighted__minValue,FracLeachMS_weighted__maxValue,EF3_manure_direct_weighted__minValue,EF3_manure_direct_weighted__maxValue,kgN2ON_manure_mgmt_direct_yr__minValue,kgN2ON_manure_mgmt_direct_yr__maxValue,kgN2ON_manure_mgmt_indirect_yr__minValue,kgN2ON_manure_mgmt_indirect_yr__maxValue,kgN2ON_manure_mgmt_total_yr__minValue,kgN2ON_manure_mgmt_total_yr__maxValue,kgN2O_manure_mgmt_direct_yr__minValue,kgN2O_manure_mgmt_direct_yr__maxValue,kgN2O_manure_mgmt_indirect_yr__minValue,kgN2O_manure_mgmt_indirect_yr__maxValue,kgN2O_manure_mgmt_total_yr__minValue,kgN2O_manure_mgmt_total_yr__maxValue,kgN2_manure_mgmt_yr__minValue,kgN2_manure_mgmt_yr__maxValue,kgN_manure_after_management_yr__minValue,kgN_manure_after_management_yr__maxValue,Representative_live_weight_kg,Animals_total_live_weight_kg,Producing_animals_live_weight_kg,Animals_sold_live_weight_kg
(unknown),cattle_live,dairy,28,28,1.49,171.0,3.0,39.0,1.0,15.0,,,85.0,100.0,2.0,15.0,,,,,12.0,12.0,10.2,12.0,0.24,1.8,,,,,0.0,0.0,0.0,0.0,12.0,12.0,3.0,39.0,66.66666666666667,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,39.0,3.0,39.0,261.0,3393.0,4.939185840000001,64.20941592000001,265.93918584,3457.20941592,79.19999999999999,1029.6,48.3,627.9000000000001,18.0,234.0,13.2,171.60000000000002,2.256,29.328,171.89999999999998,2234.7,4088.73,53153.490000000005,0.121,0.121,0.0133,0.0133,0.0081,0.0081,1.3923899999999998,18.10107,0.2123480699999999,2.76052491,1.6047380699999998,20.86159491,2.188041428571428,28.444538571428563,0.3336898242857142,4.337967715714285,2.5217312528571427,32.78250628714285,4.177169999999999,54.30320999999999,143.24427,1862.17551,450.0,,,
(unknown),donkey_live,(all holdings),2,2,13.61,17.45,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,3.6,180.0,180.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,2.0,1.0,2.0,10.0,20.0,0.70514496,1.41028992,10.70514496,21.41028992,15.8,31.6,7.0,14.0,2.7,5.4,6.1,12.2,0.25,0.5,14.2,28.4,341.64000000000004,683.2800000000001,0.0175,0.0175,0.00105,0.00105,0.0023,0.0023,0.0326599999999999,0.0653199999999999,0.00240051,0.00480102,0.0350605099999999,0.0701210199999999,0.0513228571428571,0.1026457142857142,0.00377223,0.00754446,0.0550950871428571,0.1101901742857142,0.0979799999999999,0.1959599999999999,13.80595,27.6119,180.0,,,
(unknown),horse_live,(all holdings),18,18,4.01,6506.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75,6.75,450.0,450.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75,6.75,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,5.0,1.0,5.0,18.0,90.0,1.6046568,8.023284,19.6046568,98.023284,15.8,79.0,7.0,35.0,2.7,13.5,6.1,30.5,0.25,1.25,41.3,206.5,777.4499999999999,3887.25,0.0175,0.0175,0.00105,0.00105,0.0023,0.0023,0.0949899999999999,0.47495,0.006981765,0.034908825,0.1019717649999999,0.509858825,0.1492699999999999,0.74635,0.0109713449999999,0.054856725,0.1602413449999999,0.801206725,0.2849699999999999,1.42485,40.153925,200.769625,312.0,,,
(unknown),milk,dairy,28,28,1.49,171.0,3.0,39.0,1.0,11.0,,,85.0,100.0,2.0,15.0,,,,,12.0,12.0,10.2,12.0,0.24,1.8,,,,,0.0,0.0,0.0,0.0,12.0,12.0,3.0,39.0,66.66666666666667,100.0,0.0,120.0,32.0,826.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,39.0,3.0,39.0,261.0,3393.0,4.939185840000001,64.20941592000001,265.93918584,3457.20941592,79.19999999999999,1029.6,48.3,627.9000000000001,18.0,234.0,13.2,171.60000000000002,2.256,29.328,171.89999999999998,2234.7,4088.73,53153.490000000005,0.121,0.121,0.0133,0.0133,0.0081,0.0081,1.3923899999999998,18.10107,0.2123480699999999,2.76052491,1.6047380699999998,20.86159491,2.188041428571428,28.444538571428563,0.3336898242857142,4.337967715714285,2.5217312528571427,32.78250628714285,4.177169999999999,54.30320999999999,143.24427,1862.17551,450.0,,,
(unknown),mule_live,(all holdings),3,3,13.12,30.45,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,350.0,350.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,2.0,1.0,2.0,10.0,20.0,0.70514496,1.41028992,10.70514496,21.41028992,15.8,31.6,7.0,14.0,2.7,5.4,6.1,12.2,0.25,0.5,14.2,28.4,341.64000000000004,683.2800000000001,0.0175,0.0175,0.00105,0.00105,0.0023,0.0023,0.0326599999999999,0.0653199999999999,0.00240051,0.00480102,0.0350605099999999,0.0701210199999999,0.0513228571428571,0.1026457142857142,0.00377223,0.00754446,0.0550950871428571,0.1101901742857142,0.0979799999999999,0.1959599999999999,13.80595,27.6119,350.0,,,
(unknown),ovine_live,(all ovine),11,11,0.52,53.33,1.0,9.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.272,1.272,60.44,60.44,78.1,78.1,21.5,21.5,0.0,0.0,0.4,0.4,0.994,0.994,0.273,0.273,0.0,0.0,0.005,0.005,,,,,,,,,,,1.0,9.0,1.0,9.0,5.0,45.0,0.15312188,1.3780969200000002,5.15312188,46.37809692,1.4,12.6,0.4,3.6,0.2,1.8,0.8,7.2,0.012,0.108,4.7,42.3,119.72,1077.48,0.0175,0.0175,0.00105,0.00105,0.0023,0.0023,0.01081,0.09729,0.000794535,0.007150815,0.011604535,0.104440815,0.0169871428571428,0.1528842857142857,0.001248555,0.011236995,0.0182356978571428,0.1641212807142857,0.03243,0.29187,4.569575,41.126175,60.44,,,
(unknown),swine_live,(all swine),2,2,5.09,13.12,1.0,2.0,,,1.0,2.0,,,,,,,100.0,100.0,2.5,2.5,,,,,,,2.5,2.5,0.0,0.0,0.0,0.0,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,2.0,1.0,2.0,6.82021115,13.6404223,7.82021115,15.6404223,6.5,13.0,3.7,7.4,2.8,5.6,0.0,0.0,0.002,0.004,14.2,28.4,92.71,185.42,0.332,0.332,0.00525,0.00525,0.00483,0.00483,0.068586,0.137172,0.0432496499999999,0.0864992999999999,0.1118356499999999,0.2236712999999999,0.107778,0.215556,0.0679637357142857,0.1359274714285714,0.1757417357142856,0.3514834714285713,0.205758,0.411516,9.136705999999998,18.273412,75.23,,,
Costa,cattle_live,(unknown),76,76,0.01,490.0,1.0,200.0,1.0,110.0,,,40.0,100.0,1.0,60.0,,,,,10.0,10.0,4.0,10.0,0.1,6.0,,,,,0.0,0.0,0.0,0.0,10.0,10.0,1.0,200.0,50.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,200.0,1.0,200.0,54.0,10800.0,0.9492766700000002,189.85533400000003,54.94927667,10989.855334,10.0,2000.0,5.7,1140.0,2.2,440.00000000000006,2.0,400.0,0.217,43.4,44.2,8840.0,1234.43,246886.0,0.0216,0.0216,0.00175,0.00175,0.0013,0.0013,0.05746,11.492,0.00944333,1.888666,0.06690333,13.380666,0.0902942857142857,18.058857142857143,0.0148395185714285,2.9679037142857148,0.1051338042857143,21.02676085714285,0.17238,34.476,42.93809,8587.618,400.0,,,
Costa,cattle_live,beef,953,953,0.02,1948.5,1.0,2272.0,1.0,1109.0,,,20.0,100.0,1.0,100.0,,,,,8.0,8.0,1.6,8.0,0.08,8.0,,,,,0.0,0.0,0.0,0.0,8.0,8.0,1.0,2272.0,5.6,1025.6410256410256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2272.0,1.0,2272.0,54.0,122688.0,0.9492766700000002,2156.7565942400006,54.94927667,124844.75659424,10.0,22720.0,5.7,12950.4,2.2,4998.400000000001,2.0,4544.0,0.217,493.024,44.2,100422.4,1234.43,2804624.96,0.0216,0.0216,0.00175,0.00175,0.0013,0.0013,0.05746,130.54912000000002,0.00944333,21.455245760000004,0.06690333,152.00436576,0.0902942857142857,205.14861714285715,0.0148395185714285,33.71538619428572,0.1051338042857143,238.8640033371429,0.17238,391.6473600000001,42.93809,97555.34048,400.0,,,
Costa,cattle_live,dairy,534,534,0.1,1075.1,1.0,1405.0,1.0,1295.0,,,10.0,100.0,1.0,100.0,,,,,12.0,12.0,1.2,12.0,0.12,12.0,,,,,0.0,0.0,0.0,0.0,12.0,12.0,0.0,1405.0,0.0,1018.918918918919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1405.0,1.0,1405.0,87.0,122235.0,1.6463952800000003,2313.1853684,88.64639528000001,124548.1853684,26.4,37092.0,16.1,22620.500000000004,6.0,8430.0,4.4,6182.000000000001,0.752,1056.56,57.3,80506.5,1362.91,1914888.55,0.121,0.121,0.0133,0.0133,0.0081,0.0081,0.4641299999999999,652.1026499999999,0.07078269,99.44967945,0.53491269,751.5523294499999,0.7293471428571427,1024.7327357142856,0.1112299414285714,156.27806770714284,0.8405770842857142,1181.0108034214284,1.3923899999999998,1956.30795,47.74809,67086.06645,450.0,,,
Costa,cattle_live,dual-purpose,1568,1568,0.01,1398.99,1.0,3240.0,0.0,1253.0,,,10.0,100.0,0.0,100.0,,,,,10.0,10.0,1.0,10.0,0.0,10.0,,,,,0.0,0.0,0.0,0.0,10.0,10.0,1.0,3000.0,2.702702702702702,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3240.0,1.0,3240.0,54.0,174960.0,0.9492766700000002,3075.6564108000007,54.94927667,178035.6564108,10.0,32400.0,5.7,18468.0,2.2,7128.000000000001,2.0,6480.0,0.217,703.08,44.2,143208.0,1234.43,3999553.2,0.0216,0.0216,0.00175,0.00175,0.0013,0.0013,0.05746,186.1704,0.00944333,30.5963892,0.06690333,216.7667892,0.0902942857142857,292.5534857142857,0.0148395185714285,48.08004017142857,0.1051338042857143,340.6335258857143,0.17238,558.5112,42.93809,139119.4116,400.0,,,
Costa,donkey_live,(all holdings),210,210,0.1,1700.0,1.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,3.6,180.0,180.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,80.0,1.0,80.0,10.0,800.0,0.70514496,56.41159680000001,10.70514496,856.4115968,15.8,1264.0,7.0,560.0,2.7,216.0,6.1,488.0,0.25,20.0,14.2,1136.0,341.64000000000004,27331.200000000004,0.0175,0.0175,0.00105,0.00105,0.0023,0.0023,0.0326599999999999,2.6128,0.00240051,0.1920408,0.0350605099999999,2.8048408,0.0513228571428571,4.105828571428572,0.00377223,0.3017784,0.0550950871428571,4.407606971428572,0.0979799999999999,7.8384,13.80595,1104.476,180.0,,,
