count,Region,Province,Crop,Category,Seeding_date,Harvest_date,Cycle_length_months,Area_ha,Yield_kgha,Straw_kgha,Export_straw_percent,Irrig_m3,Water_source,Irrig_equipment,Packaging_type1,Packaging_type1_kgha,Packaging_type2,Packaging_type2_kgha,Fuel_type,Fuel_unit,Fuel_ha,Urea_kgha,NPK_kgha,NPK_N_percent,NPK_P_percent,NPK_K_percent,MAP_kgha,UAN_kgha,AN_kgha,AP_kgha,AS_kgha,CAN_kgha,Total_fert_min_kgha,Manure_kgha,Manure_type,Compost_kg_ha,Digestate_kg_ha,Total_fert_org_kgha,N_tot,N_min,N_orga,P_tot,P_min,P_orga,K_tot,K_min,K_orga,Insecticide_kgha,Herbicide_kgha,Fungicide_kgha,Acaricide_kgha,Biocide_NE_kgha,Total_pesticides_kgha,Seed_kgha,Equipement_phyto,Molecule_name_1,Dose_kgha_1,Phase_application_1,Molecule_name_2,Dose_kgha_2,Phase_application_2,Molecule_name_3,Dose_kgha_3,Phase_application_3,Molecule_name_4,Dose_kgha_4,Phase_application_4,Molecule_name_5,Dose_kgha_5,Phase_application_5,Molecule_name_6,Dose_kgha_6,Phase_application_6,Molecule_name_7,Dose_kgha_7,Phase_application_7,Molecule_name_8,Dose_kgha_8,Phase_application_8,Molecule_name_9,Dose_kgha_9,Phase_application_9,Transport_1,Transport_type_1,Transport_tkm_1,Transport_2,Transport_type_2,Transport_tkm_2,Transport_3,Transport_type_3,Transport_tkm_3,Transport_4,Transport_type_4,Transport_tkm_4,Transport_tkm,Transport_type,Organic_estiercol_kgha,Organic_fermentado_kgha,Organic_liquido_kgha
9,costa,EL ORO,ARROZ (EN CÁSCARA),transitory,2024-01-01,2024-12-01,11.0,7.0,4336.363636363635,,,10000.0,,surcos,QUINTAL,,PILADO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4514.9985,,90.718474,,,,,,136.077711,136.077711,90.718474,,226.796185,0.0,,,,0.0,,,,,,,,,,0.3333333333333333,1.0,0.5,0.0,0.0,1.7000000000000002,1135.6818181818176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,costa,EL ORO,ARVEJA SECA (GRANO SECO),transitory,2024-03-01,2024-08-01,5.0,0.15,227.27272727272734,,,0.0,,sin riego,,,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,2.2727272727272734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680.388555,,
108,costa,EL ORO,BANANO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,8.365,34090.909090909,,,26153.846153846152,,aspersi?n,CAJA,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2294.5065000000004,,371.6937476388889,,,,,,493.018029787234,,256.8930372232704,,206.07692307692307,0.0,,,,0.0,,,,,,,,,,2.5,2.928571428571429,10.49090909090909,0.0,0.0,2.392857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667.6313188054066,243.9449029883871,20.333333333333332
169,costa,EL ORO,CACAO (ALMENDRA SECA),permanent,2024-01-01,2024-12-01,11.0,1.65,443.47402597402606,,,13846.153846153846,,sin riego,CAJA,,ALMENDRA SECA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,150.8485229415462,,,,,,166.66666666666666,120.95796533333333,100.0,,66.20234565217392,0.0,,,,0.0,,,,,,,,,,1.0,2.6470588235294117,1.125,0.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.24324324324326,302.3949133333333,66.66666666666667
26,costa,EL ORO,CAFÉ (GRANO ORO),permanent,2024-01-01,2024-12-01,11.0,0.88,175.65909090909082,,,0.0,,sin riego,QUINTAL,,GRANO ORO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,2.6666666666666665,0.5968320657894737,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604.7898266666666,,23.333333333333332
33,costa,EL ORO,CAÑA DE AZÚCAR / OTROS USOS (TALLO FRESCO),permanent,2024-01-01,2024-12-01,11.0,0.49,4363.636363636359,,,0.0,,sin riego,QUINTAL,,TALLO FRESCO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2832.0108,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.9936416666667,925.6987142857143,
16,costa,EL ORO,FREJOL SECO (GRANO SECO),transitory,2023-12-01,2024-08-01,8.0,0.13,278.40909090909054,,,0.0,,sin riego,,,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,2.2272727272727266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.9904625,,
3,costa,EL ORO,FREJOL TIERNO (VAINA),transitory,2024-01-01,2024-06-01,5.0,0.13,629.3706293706292,,,6153.846153846153,,surcos,SACO,,VAINA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,,28.162603192307692,,,,,,,,,,17.445860384615386,647.9890999999999,,,,647.9890999999999,,,,,,,,,,,,,0.0,0.0,0.0,3.146853146853146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928.7843766666667,,
5,costa,EL ORO,HABA SECA (GRANO SECO),transitory,2023-12-01,2024-06-01,6.0,0.1,227.272727272728,,,4615.384615384615,,sin riego,,,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.9469696969696959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.1170206666667,,
1,costa,EL ORO,HABA TIERNA (VAINA),transitory,2024-01-01,2024-06-01,5.0,0.2,681.8181818181799,,,0.0,,sin riego,,,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,,,,,,,,226.79618499999998,,,,226.79618499999998,0.0,,,,0.0,,,,,,,,,,2.5,2.5,,0.0,3.4999999999999996,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,costa,EL ORO,LIMÓN (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,1.625,2892.2077922077924,,,16153.846153846152,,aspersi?n,QUINTAL,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,8855.9988,,37.925783444816055,,,,,,90.718474,120.95796533333333,155.517384,,35.45715972240803,0.0,,,,0.0,,,,,,,,,,4.0,,0.42857142857142855,0.0,0.0,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.436948,12.959782,
10,costa,EL ORO,MAIZ DURO CHOCLO (CHOCLO),transitory,2024-04-01,2024-11-01,7.0,0.3,583.3333333333326,,,10652.17391304348,,aspersi?n,SACO,,CHOCLO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,,10.886216880000001,,,,,,150.0,0.0036287389600000003,5.981036146666668,,60.277431057020834,0.0,,,,0.0,,,,,,,,,,0.15208333333333335,0.42496350364963503,,0.0,0.0,0.5249635036496351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,costa,EL ORO,MAIZ DURO SECO (GRANO SECO),transitory,2024-01-01,2024-08-01,7.0,0.5,1239.1774891774896,,,0.0,,sin riego,QUINTAL,,GRANO SECO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,,214.2857142857143,,,,,,125.0,45.359237,,,60.47898266666667,0.0,,,,0.0,,,,,,,,,,1.1839080459770115,2.0,1.0454545454545454,0.0,0.0,0.0,13.295454545454541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680.388555,,
2,costa,EL ORO,MAIZ SUAVE CHOCLO (CHOCLO),transitory,2023-10-01,2024-04-01,6.0,0.15500000000000003,703.4632034632033,,,11304.347826086958,,surcos,,,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,,61.55896450000001,,,,,,,,,,61.55896450000001,836.9859208333334,,,,836.9859208333334,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836.9859208333334,,
38,costa,EL ORO,MAIZ SUAVE SECO (GRANO SECO),transitory,2023-12-01,2024-08-01,8.0,0.15,432.6298701298697,,,0.0,,sin riego,QUINTAL,,GRANO SECO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,,430.9127515,,,,,,272.155422,388.79346,,,0.0,0.0,,,,0.0,,,,,,,,,,1.4999999999999998,2.857142857142857,1.923076923076923,0.0,0.0,0.0,1.3533057851239643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815.5939729807692,,
2,costa,EL ORO,MANGO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,0.35,4545.454545454548,,,6923.076923076923,,aspersi?n,,,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,,,,,,,250.0,,,,125.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,costa,EL ORO,MANI,transitory,2024-01-01,2024-07-01,6.0,0.09,207.79220779220717,,,0.0,,sin riego,BALDE,,GRANO DESCASCARADO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2647.992,,214.2857142857143,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.16363636363636322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,costa,EL ORO,MARACUYÁ (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,2.0,14204.54545454545,,,6923.076923076923,,aspersi?n,QUINTAL,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,,,,,,,,,45.359237,,45.359237,0.0,,,,0.0,,,,,,,,,,0.5,,0.25,0.0,0.0,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,costa,EL ORO,NARANJA (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,0.5,4363.636363636359,,,14639.423076923076,,aspersi?n,LIBRA,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,8855.9988,,113.39809249999999,,,,,,74.48698232843137,,,,0.0,0.0,,,,0.0,,,,,,,,,,4.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.514659,,
4,costa,EL ORO,ORITO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,0.12,28409.09090909087,,,0.0,,sin riego,OTRA,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2294.5065000000004,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,0.18518518518518517,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,costa,EL ORO,OTROS PERMANENTES,permanent,2024-01-01,2024-12-01,11.0,1.0,4454.54545454545,,,0.0,,sin riego,LIBRA,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,,,,,,,,,,,0.0,136.077711,,,,0.0,,,,,,,,,,36.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.077711,160.0,
14,costa,EL ORO,OTROS TRANSITORIOS,transitory,2023-12-01,2024-08-01,8.0,0.195,937.9509379509389,,,0.0,,aspersi?n,SACO,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2216.2455,,120.95796533333333,,,,,,60.47898266666667,,151.19745666666668,,9.071847400000001,0.0,,,,0.0,,,,,,,,,,2.0,2.6666666666666665,0.6666666666666666,0.0,0.0,0.0,2.5252525252525277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.9913708333333,,
2,costa,EL ORO,PALMA AFRICANA (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,200.0,25454.54545454545,,,7826.08695652174,,surcos,TONELADA,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,567.9936,,295.2,,,,,,,,,,295.2,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,costa,EL ORO,PAPA,transitory,2024-03-01,2024-07-01,4.0,0.08,2272.727272727275,,,9230.76923076923,,aspersi?n,QUINTAL,,TUBERCULO FRESCO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,5272.5,,49.13917341666667,,,,,,,,,,0.0,518.39128,,,,518.39128,,,,,,,,,,1.41747615625,,2.380952380952381,0.0,0.0,1.133980925,14.069264069264074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680.3885549999999,,
1,costa,EL ORO,PIÑA (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,,66216.89155422288,,,0.0,,sin riego,,,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,costa,EL ORO,PLÁTANO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,0.5,14318.1818181818,,,10625.0,,sin riego,OTRA,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2294.5065000000004,,176.37,,,,,,137.5,,,,0.0,0.0,,,,0.0,,,,,,,,,,10.0,4.2,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,costa,EL ORO,TOMATE DE ÁRBOL (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,,10909.090909090917,,,0.0,,sin riego,,,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,costa,EL ORO,TRIGO,transitory,2023-12-01,2024-08-01,8.0,0.03,1515.1515151515166,,,0.0,,sin riego,,,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1447.4865,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,3.7878787878787916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,costa,EL ORO,YUCA,transitory,2023-09-01,2024-08-01,11.0,0.17,3524.4755244755243,,,4615.384615384615,,aspersi?n,SACO,,RAIZ FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2429.9955,,15.825887634615384,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,25.454545454545443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,costa,ESMERALDAS,BANANO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,0.75,8181.818181818185,,,0.0,,sin riego,OTRA,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2294.5065000000004,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,costa,ESMERALDAS,CACAO (ALMENDRA SECA),permanent,2024-01-01,2024-12-01,11.0,2.0,545.4545454545464,,,0.0,,sin riego,QUINTAL,,ALMENDRA SECA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,130.0,,,,,,75.0,1.0,190.71847400000001,,0.0,0.0,,,,0.0,,,,,,,,,,1.0,2.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.3709642,68.0388555,3.0
2,costa,ESMERALDAS,CAFÉ (GRANO ORO),permanent,2024-01-01,2024-12-01,11.0,5.0,38.1818181818182,,,0.0,,sin riego,QUINTAL,,GRANO ORO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,costa,ESMERALDAS,CAÑA DE AZÚCAR / OTROS USOS (TALLO FRESCO),permanent,2024-01-01,2024-12-01,11.0,0.5,113818.1818181818,,,0.0,,sin riego,,,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2832.0108,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,1.0,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,costa,ESMERALDAS,HABA TIERNA (VAINA),transitory,2024-01-01,2024-05-01,4.0,0.25,2909.0909090909076,,,10434.782608695654,,surcos,QUINTAL,,VAINA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,costa,ESMERALDAS,LIMÓN (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,0.75,3636.3636363636397,,,0.0,,sin riego,QUINTAL,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,8855.9988,,146.577711,,,,,,21.0,21.0,21.0,,0.0,0.0,,,,0.0,,,,,,,,,,2.0,3.5625,6.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.436948,,
4,costa,ESMERALDAS,MAIZ DURO CHOCLO (CHOCLO),transitory,2024-08-01,2024-12-01,4.0,1.75,6409.090909090909,,,5000.0,,sin riego,,,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,,123.0,,,,,,250.0,,,,248.0,833.3333333333334,,,,833.3333333333334,,,,,,,,,,,1.5,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1666.6666666666667,,
23,costa,ESMERALDAS,MAIZ DURO SECO (GRANO SECO),transitory,2024-07-01,2024-12-01,5.0,38.0,8636.363636363632,,,0.0,,sin riego,QUINTAL,,GRANO SECO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,,700.0,,,,,,181.436948,,,,700.0,0.0,,,,0.0,,,,,,,,,,2.0,1.0,3.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,costa,ESMERALDAS,MARACUYÁ (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,1.0,8610.909090909081,,,0.0,,sin riego,QUINTAL,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,137.5,,,,,,113.3980925,,28.830023516949154,,2.526315789473684,0.0,,,,0.0,,,,,,,,,,2.0,0.8374015748031496,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,costa,ESMERALDAS,NARANJA (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,0.375,2454.545454545454,,,0.0,,sin riego,QUINTAL,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,8855.9988,,45.359237,,,,,,,,,,22.6796185,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,costa,ESMERALDAS,ORITO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,1.0,1068.1818181818198,,,0.0,,sin riego,OTRA,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2294.5065000000004,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,costa,ESMERALDAS,OTROS PERMANENTES,permanent,2024-01-01,2024-12-01,11.0,2.0,10032.409090909081,,,0.0,,sin riego,LIBRA,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,20.869565217391305,,,,,,0.1,,,,0.0,0.0,,,,0.0,,,,,,,,,,4.5,,11.7,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.666666666666664
1,costa,ESMERALDAS,OTROS TRANSITORIOS,transitory,2024-07-01,2024-12-01,5.0,,5797.773654916525,,,0.0,,sin riego,,,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2216.2455,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,costa,ESMERALDAS,PALMA AFRICANA (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,48.0,15000.0,,,0.0,,sin riego,TONELADA METR.,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,567.9936,,615.0,,,,,,150.0,1.81436948,125.0,,492.0,0.0,,,,0.0,,,,,,,,,,0.2508007198785335,1.572110436133928,0.06414457080013258,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.82516931800285,2538.098774600817,153.84615384615384
7,costa,ESMERALDAS,PALMITO (TALLO FRESCO),permanent,2024-01-01,2024-12-01,11.0,40.0,3191.4393939393917,,,0.0,,sin riego,LIBRA,,TALLO FRESCO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,150.0,,,,,,,,,,0.0,0.06060606060606061,,,,0.0,,,,,,,,,,0.0875,0.022679618500000002,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.0,0.06060606060606061
79,costa,ESMERALDAS,PLÁTANO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,1.0,5802.7079303675,,,0.0,,sin riego,OTRA,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2294.5065000000004,,90.718474,,,,,,50.0,,257.22222222222223,,0.0,0.0,,,,0.0,,,,,,,,,,2.0,2.4,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.436948,117.6470588235294,0.9132420091324202
2,costa,ESMERALDAS,YUCA,transitory,2023-12-01,2024-11-01,11.0,0.25,4545.454545454538,,,0.0,,sin riego,QUINTAL,,RAIZ FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2429.9955,,16.0,,,,,,8.0,,,,12.0,0.0,,,,0.0,,,,,,,,,,,3.0,,0.0,0.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,costa,GUAYAS,AGUACATE (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,5.75,5542.424242424234,,,0.0,,microaspersi?n,CAJA,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,225.0,,,,,,200.0,,,,325.0,0.0,,,,0.0,,,,,,,,,,1.5,1.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1652,costa,GUAYAS,ARROZ (EN CÁSCARA),transitory,2024-05-01,2024-12-01,7.0,2.49,4485.454545454545,,,10000.0,,surcos,SACA,,EN CASCARA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4514.9985,,150.0,,,,,,134.68166152729913,100.0,100.0,,300.0,0.0,,,,0.0,,,,,,,,,,1.009252185722774,1.2,1.0,0.0,0.0,2.791982182628062,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.077711,66.96078683200473,1.0
132,costa,GUAYAS,BANANO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,81.375,44925.188645346716,,,26153.846153846152,,microaspersi?n,CAJA,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2294.5065000000004,,220.0,,,,,,136.07771100000002,95.35923700000001,100.0,,215.70221618540063,0.0,,,,0.0,,,,,,,,,,1.1111111111111112,2.0,4.5,0.0,0.0,3.0217332720384253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453.59236999999996,140.0,35.95190380761523
727,costa,GUAYAS,CACAO (ALMENDRA SECA),permanent,2024-01-01,2024-12-01,11.0,2.1,681.8181818181822,,,13846.153846153846,,sin riego,QUINTAL,,ALMENDRA SECA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,184.56375838926175,,,,,,136.986301369863,142.25762856533183,113.92405063291139,,150.0,0.0,,,,0.0,,,,,,,,,,1.0,1.213963341622916,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.79346,125.0,2.3722943722943723
5,costa,GUAYAS,CAFÉ (GRANO ORO),permanent,2024-01-01,2024-12-01,11.0,3.0,318.18181818181836,,,0.0,,sin riego,QUINTAL,,GRANO ORO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,1.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,costa,GUAYAS,CAÑA DE AZÚCAR / AZÚCAR (TALLO FRESCO),permanent,2024-01-01,2024-12-01,11.0,101.9,70000.0,,,34782.608695652176,,surcos,TONELADA METR.,,TALLO FRESCO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2832.0108,,300.0,,,,,,150.37688442211055,70.0,100.0,,441.66666666666663,0.0,,,,0.0,,,,,,,,,,1.0,4.0,1.75,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.79996839869691,,3.0
1,costa,GUAYAS,FREJOL SECO (GRANO SECO),transitory,2024-01-01,2024-07-01,6.0,37.0,1363.6363636363649,,,0.0,,sin riego,QUINTAL,,GRANO SECO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
